"item_title","item_link","item_description","item_pub_date","item_guid"
"Kamerbrief over reflectie euthanasie bij psychisch lijden jonge mensen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/11/kamerbrief-over-stand-van-zaken-uitvoering-moties-en-toezegging-naar-aanleiding-van-de-initiatiefnota-van-het-lid-de-korte","Minister Hermans (VWS) stuurt de Tweede Kamer haar reactie op de brief over kritische reflectie op euthanasie bij psychisch lijden van jonge mensen. De vaste commissie voor VWS had de minister om een reactie op de brief gevraagd. Kamerbrief over reflectie euthanasie bij psychisch lijden jonge mensen",2026-03-16 16:57:26,"adbd5c2b-9411-48a4-8c52-000f85c6d979"
"Antwoorden op Kamervragen over terugroepactie babyvoeding Danone","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/09/antwoorden-op-kamervragen-over-de-terugroepactie-van-babyvoeding-door-danone","Minister Van Hermans (VWS) geeft antwoord op vragen over de terugroepactie van babyvoeding door Danone. Het Tweede Kamerlid Diederik van Dijk (SGP) had de vragen gesteld.Antwoorden op Kamervragen over terugroepactie babyvoeding Danone",2026-03-16 16:39:12,"84cc9adc-b40f-4322-b2ad-e624e531d5d3"
"Kamerbrief over 'Zorgproducenten luiden noodklok verregaande verschraling dreigt'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/01/19/commissiebrief-inzake-verzoek-brandbrief-zorgproducenten-luiden-noodklok-verregaande-verschraling-dreigt","Minister Bruijn (VWS) stuurt de Tweede Kamer zijn reactie op de brief 'Zorgproducenten luiden noodklok ""verregaande verschraling dreigt""'. De vaste Tweede Kamercommissie voor VWS had de minister om een reactie op de petitie gevraagd.Kamerbrief over 'Zorgproducenten luiden noodklok verregaande verschraling dreigt'",2026-03-16 16:28:51,"a08868de-dc6c-4aa4-ae71-2930e920edbc"
"Kamerbrief over Wijziging van de Wet op de beroepen in de individuele gezondheidszorg in verband met het opnemen van medisch hulpverlener acute zorg en klinisch fysicus in de lijst van registerberoepen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/kamerbrief-over-wijziging-van-de-wet-op-de-beroepen-in-de-individuele-gezondheidszorg-in-verband-met-het-opnemen-van-medisch-hulpverlener-acute-zorg-en-klinisch-fysicus-in-de-lijst-van-registerberoepen","Kamerbrief over Wijziging van de Wet op de beroepen in de individuele gezondheidszorg in verband met het opnemen van medisch hulpverlener acute zorg en klinisch fysicus in de lijst van registerberoepen",2026-03-16 16:01:40,"52a4e824-6b16-49e9-9ba7-5978ee19068b"
"Nota naar aanleiding verslag Wijziging van de Wet","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/nota-naar-aanleiding-verslag-wijziging-van-de-wet","Nota naar aanleiding verslag Wijziging van de Wet",2026-03-16 16:01:40,"5e3a0f7d-0eba-4f75-b3ed-b588c56f7a28"
"Nota van wijziging MHAZ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/nota-van-wijziging-mhaz","Nota van wijziging MHAZ",2026-03-16 16:01:38,"fd23f54c-e996-403d-8172-f61a9456da7b"
"Kamerbrief over verzoek om reactie op brief over knelpunten bij realisatie van mantelzorgwoningen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/kamerbrief-over-verzoek-om-reactie-op-brief-over-knelpunten-bij-realisatie-van-mantelzorgwoningen","Kamerbrief over verzoek om reactie op brief over knelpunten bij realisatie van mantelzorgwoningen",2026-03-16 15:48:20,"2969e1a8-bb78-4030-82d4-9a1e842534d5"
"Kamerbrief over  beantwoording vragen palliatieve zorg bij begrotingsbehandeling VWS 2026","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/kamerbrief-over-beantwoording-vragen-palliatieve-zorg-bij-begrotingsbehandeling-vws-2026","Kamerbrief over  beantwoording vragen palliatieve zorg bij begrotingsbehandeling VWS 2026",2026-03-16 15:45:41,"b2cff57e-9b7f-4e86-906b-a3415fdb61c8"
"Kamerbrief over Opvolging toezeggingen WGO gehandicaptenbeleid 9 maart 2026","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/kamerbrief-over-opvolging-toezeggingen-wgo-gehandicaptenbeleid-9-maart-2026","Kamerbrief over Opvolging toezeggingen WGO gehandicaptenbeleid 9 maart 2026",2026-03-16 14:37:43,"4a9d1b2e-4ff9-4ba7-bb4f-fe526266e992"
"Kamerbrief over Evaluatie Subsidieregeling Donatie bij Leven","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/kamerbrief-over-evaluatie-subsidieregeling-donatie-bij-leven","Kamerbrief over Evaluatie Subsidieregeling Donatie bij Leven",2026-03-16 14:03:49,"77c84e73-bca8-4373-af19-b6f4a31454a4"
