"item_title","item_link","item_description","item_pub_date","item_guid"
"Antwoorden op Kamervragen over het bericht Kraamverzorgers zien geweld en drugs, maar melden nauwelijks bij Veilig Thuis ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/21/antwoordenopkamervragenoverhetberichtkraamverzorgersziengeweldendrugsmaarmeldennauwelijksbijveiligthuis","Antwoorden op Kamervragen over het bericht Kraamverzorgers zien geweld en drugs, maar melden nauwelijks bij Veilig Thuis",2026-04-21 10:34:39,"ca5f5869-9247-47d9-977b-503fd232247d"
"NOTA NAAR AANLEIDING VAN HET VERSLAG","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/21/notanaaraanleidingvanhetverslag","NOTA NAAR AANLEIDING VAN HET VERSLAG",2026-04-21 09:13:57,"1852c490-7adc-4040-ba4b-986437cd924f"
"Kamerbrief inzake De Goedkeuring van de op 28 mei 2022 te Genève aangenomen wijzigingen van de op 23 mei 2005 te Genève tot stand gekomen Internationale Gezondheidsregeling (2005) (Trb. 2022, 135) (36534(R2193))","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/21/kamerbriefinzakedegoedkeuringvandeop28mei2022tegeneveaangenomenwijzigingenvandeop23mei2005tegenevetotstandgekomeninternationalegezondheidsregeling2005trb202213536534r2193","Kamerbrief inzake De Goedkeuring van de op 28 mei 2022 te Genève aangenomen wijzigingen van de op 23 mei 2005 te Genève tot stand gekomen Internationale Gezondheidsregeling (2005) (Trb. 2022, 135) (36534(R2193))",2026-04-21 09:13:56,"7396cae5-eb31-4db4-b5cc-3c282e87027c"
"Kamerbrief inzake Zonvenant","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/21/kamerbriefinzakezonvenant","Kamerbrief inzake Zonvenant",2026-04-21 08:52:36,"3fb17146-ee78-4f92-8e01-e4a5d8f0e1f7"
"Kamerbrief over Hack Chipsoft ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/21/kamerbriefoverhackchipsoft","Kamerbrief over Hack Chipsoft",2026-04-21 08:45:18,"088603bf-b864-4376-bcdd-25ef1be655bf"
"Beantwoording Kamervragen van de leden Vervuurt en El Boujdaini (beiden D66) over een datahack in de zorgsector","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/21/beantwoordingkamervragenvandeledenvervuurtenelboujdainibeidend66overeendatahackindezorgsector","Beantwoording Kamervragen van de leden Vervuurt en El Boujdaini (beiden D66) over een datahack in de zorgsector",2026-04-21 08:45:11,"c994cfd2-0175-4385-b343-fad45c65a1af"
"Aanbiedingsbrief bij monitor onbedoelde zwangerschap","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/20/kamerbriefoveraanbiedingsbriefmonitoronbedoeldezwangerschap","Minister Hermans (VWS) biedt de Tweede Kamer de 'Monitor Onbedoelde Zwangerschappen - Cijferoverzicht 2025' aan.Aanbiedingsbrief bij monitor onbedoelde zwangerschap",2026-04-20 15:07:59,"5d2ef365-9044-4ba9-9c2e-c8669a2f706e"
"Kamerbrief over verlenging van de werkingsduur van de Subsidieregeling opleidingsactiviteiten AIGT 2021–2026","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/20/kamerbriefoververlengingvandewerkingsduurvandesubsidieregelingopleidingsactiviteitenaigt20212026","Kamerbrief over verlenging van de werkingsduur van de Subsidieregeling opleidingsactiviteiten AIGT 2021–2026",2026-04-20 14:44:59,"8e422e6c-2ed8-4d0c-82f0-139bb9474c44"
"Kamerbrief met reactie op petitie WK voetbal en oproep tot boycot","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/20/kamerbriefinzakereactieoppetitiewkvoetbalendeoproeptoteenboycot","Minister Sterk (Langdurige Zorg, Jeugd en Sport) stuurt de Tweede Kamer een reactie op de petitie 'WK voetbal en de oproep tot een boycot'. De vaste Kamercommissie voor Volksgezondheid, Welzijn en Sport had om een reactie verzocht.Kamerbrief met reactie op petitie WK voetbal en oproep tot boycot",2026-04-20 14:27:08,"533de8b6-4db6-431c-9749-9368dbfb16d1"
"Antwoorden op Kamervragen over het bericht Al vijf weken geen gasten meer in hospice Dedemsvaart, Bert vecht voor het voortbestaan: Anders is het voorbij ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/20/antwoordenopkamervragenoverhetberichtalvijfwekengeengastenmeerinhospicededemsvaartbertvechtvoorhetvoortbestaanandersishetvoorbij","Antwoorden op Kamervragen over het bericht Al vijf weken geen gasten meer in hospice Dedemsvaart, Bert vecht voor het voortbestaan: Anders is het voorbij",2026-04-20 14:17:26,"d42a7ff6-411f-407c-80ec-54096c5fd9c2"
