"item_title","item_link","item_description","item_pub_date","item_guid"
"Kamerbrief over Toezicht op het CAK door de Nederlandse Zorgautoriteit en opvolging motie van kamerlid Dijk","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/12/kamerbrief-over-toezicht-op-het-cak-door-de-nederlandse-zorgautoriteit-en-opvolging-motie-van-kamerlid-dijk","De Eerste Kamer heeft eenzelfde brief gekregen.Kamerbrief over Toezicht op het CAK door de Nederlandse Zorgautoriteit en opvolging motie van kamerlid Dijk",2026-03-12 16:02:18,"4368b53e-9546-42a4-a822-ef97b6cbeb51"
"Antwoorden op Kamervragen over de misstanden en uitbuiting van Nederlandse jongeren in Franse gastgezinnen ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/12/antwoorden-op-kamervragen-over-de-misstanden-en-uitbuiting-van-nederlandse-jongeren-in-franse-gastgezinnen","Antwoorden op Kamervragen over de misstanden en uitbuiting van Nederlandse jongeren in Franse gastgezinnen",2026-03-12 16:01:27,"f0f14fb3-9d4b-4f80-a53b-ba9e45621a3f"
"Kamerbrief inzake Verzoek om een stand van zakenbrief ten aanzien van de opname van NEED in het register van kwaliteitsregistraties","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/12/kamerbrief-inzake-verzoek-om-een-stand-van-zakenbrief-ten-aanzien-van-de-opname-van-need-in-het-register-van-kwaliteitsregistraties","Kamerbrief inzake Verzoek om een stand van zakenbrief ten aanzien van de opname van NEED in het register van kwaliteitsregistraties",2026-03-12 16:01:15,"ccd01522-12ed-4dae-923d-51b0a1e313b2"
"Kamerbrief over reflectie euthanasie bij psychisch lijden jonge mensen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/11/kamerbrief-over-stand-van-zaken-uitvoering-moties-en-toezegging-naar-aanleiding-van-de-initiatiefnota-van-het-lid-de-korte","Minister Hermans (VWS) stuurt de Tweede Kamer haar reactie op de brief over kritische reflectie op euthanasie bij psychisch lijden van jonge mensen. De vaste commissie voor VWS had de minister om een reactie op de brief gevraagd. Kamerbrief over reflectie euthanasie bij psychisch lijden jonge mensen",2026-03-12 11:23:52,"adbd5c2b-9411-48a4-8c52-000f85c6d979"
"Uitstelbrief op Kamervragen over het bericht 'Kraamverzorgers zien geweld en drugs, maar melden nauwelijks bij Veilig Thuis'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/12/uitstelbrief-op-kamervragen-over-het-bericht-kraamverzorgers-zien-geweld-en-drugs-maar-melden-nauwelijks-bij-veilig-thuis","Uitstelbrief op Kamervragen over het bericht 'Kraamverzorgers zien geweld en drugs, maar melden nauwelijks bij Veilig Thuis'",2026-03-12 10:13:32,"1ee5e192-d925-414e-81a4-670e3af7c1fe"
"Kamerbrief stand van zaken moties en toezeggingen Jeugd en aanbieding rapporten","https://www.rijksoverheid.nl/documenten/kamerstukken/2025/12/17/kamerbrief-over-stand-van-zaken-moties-en-toezeggingen-jeugd-aanbieding-van-rapporten","Staatssecretaris Tielen (Jeugd, Preventie en Sport) en staatssecretaris Rutte (JenV) informeren de Tweede Kamer over de stand van zaken van verschillende moties en toezeggingen over jeugdbeleid. Ook sturen zij een aantal rapporten mee, en de reactie op een aantal van deze rapporten.Kamerbrief stand van zaken moties en toezeggingen Jeugd en aanbieding rapporten",2026-03-11 15:50:05,"a8c63274-595a-462b-a518-9e3695a0ef2d"
"Antwoorden op Kamervragen over bericht 'Apothekers willen dat politiek medicijntekort aanpakt'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/11/antwoorden-op-kamervragen-over-het-bericht-apothekers-willen-dat-politiek-medicijntekort-nu-echt-aanpakt-gezondheid-patienten-staat-op-het-spel","Minister Van Hermans (VWS) geeft antwoord op vragen over het bericht 'Apothekers willen dat politiek medicijntekort nu echt aanpakt: ""Gezondheid patiënten staat op het spel""'. Het Tweede Kamerlid Coenradie (JA21) had de vragen gesteld.Antwoorden op Kamervragen over bericht 'Apothekers willen dat politiek medicijntekort aanpakt'",2026-03-11 15:43:02,"3dc43a1e-77f8-4e87-965d-51f4fc384dfd"
"Antwoorden op Kamervragen over bericht van baby’s ziek na drinken Nestlé-voeding","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/09/antwoorden-op-kamervragen-over-het-bericht-dat-er-vier-nederlandse-baby-s-ziek-zijn-geworden-na-het-drinken-van-nestle-voeding","Minister Van Hermans (VWS) geeft antwoord op vragen over het bericht dat er vier Nederlandse baby’s ziek zijn geworden na het drinken van Nestlé-voeding. Het Tweede Kamerlid Dobbe (SP) had de vragen gesteld.Antwoorden op Kamervragen over bericht van baby’s ziek na drinken Nestlé-voeding",2026-03-11 14:26:19,"02f38a23-2276-406e-9aad-29005c803570"
"Antwoorden op Kamervragen over terugroepactie babyvoeding Danone","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/09/antwoorden-op-kamervragen-over-de-terugroepactie-van-babyvoeding-door-danone","Minister Van Hermans (VWS) geeft antwoord op vragen over de terugroepactie van babyvoeding door Danone. Het Tweede Kamerlid Van Dijk (SGP) had de vragen gesteld.Antwoorden op Kamervragen over terugroepactie babyvoeding Danone",2026-03-11 14:21:08,"84cc9adc-b40f-4322-b2ad-e624e531d5d3"
"Kamerbrief over bericht dat gemeenten steeds strenger worden met het toekennen van pgb-budgetten","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/02/kabinetsreactie-op-bericht-dat-gemeenten-steeds-strenger-worden-met-het-toekennen-van-pgb-budgetten","Minister Sterk (Langdurige Zorg, Jeugd en Sport) stuurt de Tweede Kamer de reactie van het Kabinet op het bericht dat gemeenten steeds strenger worden met het toekennen van pgb-budgetten. Zij reageert hiermee op een vraag van het Kamerlid Westerveld (GroenLinks-PvdA).Kamerbrief over bericht dat gemeenten steeds strenger worden met het toekennen van pgb-budgetten",2026-03-11 14:06:35,"0816a4c9-9eec-48bc-8786-86fd883262ca"
