"item_title","item_link","item_description","item_pub_date","item_guid"
"Kamerbrief over Aanbieding ontwerpbesluit, houdende wijziging van lijst I en IA, behorende bij de Opiumwet in verband met de plaatsing van een middel op lijst I en de toevoeging van een stofgroep aan lijst IA","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/31/kamerbrief-over-aanbieding-ontwerpbesluit-houdende-wijziging-van-lijst-i-en-ia-behorende-bij-de-opiumwet-in-verband-met-de-plaatsing-van-een-middel-op-lijst-i-en-de-toevoeging-van-een-stofgroep-aan-lijst-ia","De Eerste Kamer heeft eenzelfde brief gekregen. Kamerbrief over Aanbieding ontwerpbesluit, houdende wijziging van lijst I en IA, behorende bij de Opiumwet in verband met de plaatsing van een middel op lijst I en de toevoeging van een stofgroep aan lijst IA",2026-03-31 10:23:36,"c945a22d-2ed5-4a9c-9bb9-6c6203acdd6f"
"Kamerbrief over Appreciatie motie van het lid Claassen over parlementaire opvolging zorgplicht","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/31/kamerbrief-over-appreciatie-motie-van-het-lid-claassen-over-parlementaire-opvolging-zorgplicht","Kamerbrief over Appreciatie motie van het lid Claassen over parlementaire opvolging zorgplicht",2026-03-31 09:04:12,"fb0f4c62-08fc-4d80-a18b-492e7ab7da82"
"Kamerbrief over Jaarbeeld IGJ 2025","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/31/kamerbrief-over-jaarbeeld-igj-2025","Kamerbrief over Jaarbeeld IGJ 2025",2026-03-31 08:05:59,"f4178a6e-9fbb-4562-83c4-210ae2738fb0"
"Kamerbrief  antwoorden VGO-onderzoekers over Gezondheidsraadadvies geitenhouderijen ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/30/kamerbrief-antwoorden-vgo-onderzoekers-naar-aanleiding-van-gezondheidsraadadvies","Minister Hermans (VWS) stuurt de Tweede Kamer de antwoorden op vragen over de kabinetsreactie op het tweede deeladvies van de Gezondheidsraad over gezondheidsrisico’s voor omwonenden van geitenhouderijen. De vragen zijn beantwoord door onderzoekers van het programma Veehouderijen en Gezondheid Omwonenden (VGO).  Kamerbrief  antwoorden VGO-onderzoekers over Gezondheidsraadadvies geitenhouderijen",2026-03-30 16:51:18,"fdcc5da8-87d0-4511-a754-cc279064951e"
" Uitstelbrief antwoorden Kamervragen over het afbouwen van de functie van Regeringscommissaris seksueel grensoverschrijdend gedrag en seksueel geweld","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/30/uitstelbrief-kamervragen-over-het-af-bouwen-van-de-functie-van-regeringscommissaris-seksueel-grensoverschrijdend-gedrag-en-seksueel-geweld","Staatssecretaris Tielen (Onderwijs en Emancipatie)  stelt de toezending uit van de antwoorden op Kamervragen over het (af)bouwen van de functie van Regeringscommissaris seksueel grensoverschrijdend gedrag en seksueel geweld. De Tweede Kamerleden Mutluer, Moorman (beiden GroenLinks-PvdA), Kostić (PvdD), Dassen (Volt), Dobbe (SP) en Van Brenk (50PLUS) hadden de vragen gesteld. Uitstelbrief antwoorden Kamervragen over het afbouwen van de functie van Regeringscommissaris seksueel grensoverschrijdend gedrag en seksueel geweld",2026-03-30 15:28:26,"27410c79-9543-4092-a1ef-41de10ae30bf"
"Kamerbrief over deeladviezen Gezondheidsraad over gezondheidsrisico’s rondom geitenhouderijen en kabinetsreactie","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/30/kamerbrief-over-deeladviezen-i-en-ii-van-de-gezondheidsraad-inzake-gezondheidsrisico-s-rondom-geitenhouderijen-en-kabinetsreactie","Minister Hermans (VWS) geeft antwoord op vragen over deeladviezen I en II van de Gezondheidsraad over gezondheidsrisico’s rondom geitenhouderijen en de kabinetsreactie op deze deeladviezen. Leden van de  vaste commissies voor Landbouw, Natuur en Voedselkwaliteit (LNV) en voor Volksgezondheid, Welzijn en Sport (VWS) uit de Eerste Kamer hadden vragen gesteld over de deeladviezen en de reactie van het kabinet daarop. Kamerbrief over deeladviezen Gezondheidsraad over gezondheidsrisico’s rondom geitenhouderijen en kabinetsreactie",2026-03-30 15:26:21,"3ece4122-bf22-4070-aa4a-7a88a337558f"
"Kamerbrief over Wijkverpleging","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/30/kamerbrief-over-wijkverpleging","Kamerbrief over Wijkverpleging",2026-03-30 13:29:23,"538d351f-17e4-469f-a539-3fc0723513e7"
"Antwoorden op Kamervragen over het bericht 'Jonge mensen met psychische problemen overlijden in hospice door stoppen met eten en drinken: 'Heel erg zorgelijk'' ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/30/antwoorden-op-kamervragen-over-het-bericht-jonge-mensen-met-psychische-problemen-overlijden-in-hospice-door-stoppen-met-eten-en-drinken-heel-erg-zorgelijk","Antwoorden op Kamervragen over het bericht 'Jonge mensen met psychische problemen overlijden in hospice door stoppen met eten en drinken: 'Heel erg zorgelijk''",2026-03-30 13:26:12,"9736308c-86e5-4b62-b704-dcd0584ac634"
"Antwoorden vragen so over mondzorg en financiële toegankelijkheid","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/17/kamerbrief-over-schriftelijk-overleg-so-mondzorg-en-financiele-toegankelijkheid-tk-32620-312","Minister Hermans (VWS) geeft antwoord op vragen uit het schriftelijk overleg (so) over mondzorg en financiële toegankelijkheid. De Tweede Kamerfracties D66, VVD, PVV, FvD, BBB, SP en 50PLUS hadden de vragen gesteld.Antwoorden vragen so over mondzorg en financiële toegankelijkheid",2026-03-30 12:40:36,"7b5ec0d1-1b40-4dce-9ea9-b57e7360a4f2"
"Kamerbrief over reactie op petitie PostCovid-patiënten","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/30/kamerbrief-over-beantwoording-commissiebrief-reactie-op-testimonials-postcovid-patienten","Minister Hermans (VWS) stuurt de Tweede Kamer haar reactie op een petitie van de Stichting Long Covid Recovery. Daarin was gevraagd om een versnelde vergoeding van lidocaïne voor post-covidpatiënten. De Kamer had de minister op 23 februarie verzocht om op de petitie te reageren.Kamerbrief over reactie op petitie PostCovid-patiënten",2026-03-30 10:47:29,"73ce0a31-bbcb-4168-a912-4099b19690be"
