"item_title","item_link","item_description","item_pub_date","item_guid"
"Nota van wijziging en toelichting","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/22/notavanwijzigingentoelichting","Nota van wijziging en toelichting",2026-04-22 15:10:32,"4ad24368-fcfd-4ccb-b782-00dde28aca41"
"Nota naar aanleiding van het verslag","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/22/notanaaraanleidingvanhetverslag","Nota naar aanleiding van het verslag",2026-04-22 15:10:32,"f2977a9b-5b2e-48fe-ad09-f6ad5c5f4a14"
"Kamerbrief over Wijziging van de Wet aanvullende bepalingen verwerking persoonsgegevens in de zorg in verband met Richtlijn (EU) 2011/24 van het Europees Parlement en de Raad van 9 maart 2011 betreffende de toepassing van de rechten van patiënten bij grensoverschrijdende gezondheidszorg (PbEU 2011, L 88)","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/22/kamerbriefoverwijzigingvandewetaanvullendebepalingenverwerkingpersoonsgegevensindezorginverbandmetrichtlijneu201124vanheteuropeesparlementenderaadvan9maart2011betreffendedetoepassingvanderechtenvanpatientenbijgrensoverschrijdendegezondheidszorgpbeu2011l88","Kamerbrief over Wijziging van de Wet aanvullende bepalingen verwerking persoonsgegevens in de zorg in verband met Richtlijn (EU) 2011/24 van het Europees Parlement en de Raad van 9 maart 2011 betreffende de toepassing van de rechten van patiënten bij grensoverschrijdende gezondheidszorg (PbEU 2011, L 88)",2026-04-22 15:10:32,"38c9aff4-66c7-44f0-902b-a641745f8fff"
"Kamerbrief over aanbieding advies van de Commissie Zorg Caribisch Nederland 2025","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/22/kamerbriefoveraanbiedingadviesvandecommissiezorgcaribischnederland2025","Minister Sterk (Langdurige Zorg, Jeugd en Sport) stuurt de Tweede Kamer de adviesnota ‘Op weg naar gelijkwaardige zorg in Caribisch Nederland’ van de Commissie Zorg Caribisch Nederland 2025. Kamerbrief over aanbieding advies van de Commissie Zorg Caribisch Nederland 2025",2026-04-22 13:26:02,"d6dde719-2a64-4358-a5e4-afe69a103254"
"Kamerbrief verslag over Verzamelbrief curatieve ggz","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/09/kamerbrief-over-schriftelijk-overleg-so-inzake-inbreng-schriftelijk-overleg-verzamelbrief-curatieve-ggz-25424-768","Minister Hermans (VWS) stuurt de Tweede Kamer het verslag van het Schriftelijk Overleg (SO) over Verzamelbrief curatieve ggz. Kamerbrief verslag over Verzamelbrief curatieve ggz",2026-04-22 12:18:31,"1f73d93f-4100-4585-96a9-78d4e1d55fc6"
"Antwoorden op Kamervragen over het stopzetten van C-support ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/22/antwoordenopkamervragenoverhetstopzettenvancsupport","Minister Hermans (VWS) beantwoordt vragen over het stopzetten van C-support. De vragen zijn van het Kamerlid Bikker (CU).Antwoorden op Kamervragen over het stopzetten van C-support",2026-04-22 11:26:06,"e8be1b0d-5b18-4d77-937c-e88631e0d01a"
"Antwoorden op Kamervragen over het stopzetten van Q- en C-support ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/22/antwoordenopkamervragenoverhetstopzettenvanqencsupport","Minister Hermans (VWS) beantwoordt vragen over het stopzetten van Q- en C-support. De vragen zijn van het Kamerlid Bushoff  (GroenLinks-PvdA).Antwoorden op Kamervragen over het stopzetten van Q- en C-support",2026-04-22 11:24:48,"8a965922-8328-4cd6-b203-7851b4240adc"
"Kamerbrief over vierde monitor effecten loslaten verlaagde omzetdrempels","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/22/kamerbriefovervierdemonitoreffectenloslatenverlaagdeomzetdrempels","Kamerbrief over vierde monitor effecten loslaten verlaagde omzetdrempels",2026-04-22 09:07:19,"635e31e7-3875-4c6f-9df6-0d3c2c2d04d3"
"Antwoorden op Kamervragen over bericht 'Kraamverzorgers zien geweld en drugs, maar melden nauwelijks bij Veilig Thuis'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/21/antwoordenopkamervragenoverhetberichtkraamverzorgersziengeweldendrugsmaarmeldennauwelijksbijveiligthuis","Minister Sterk (Langdurige Zorg, Jeugd en Sport) geeft antwoord op vragen over het bericht 'Kraamverzorgers zien geweld en drugs, maar melden nauwelijks bij Veilig Thuis'. De Tweede Kamerleden Armut en Krul (beiden CDA) hadden de vragen gesteld.Antwoorden op Kamervragen over bericht 'Kraamverzorgers zien geweld en drugs, maar melden nauwelijks bij Veilig Thuis'",2026-04-21 10:34:39,"ca5f5869-9247-47d9-977b-503fd232247d"
"NOTA NAAR AANLEIDING VAN HET VERSLAG","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/21/notanaaraanleidingvanhetverslag","NOTA NAAR AANLEIDING VAN HET VERSLAG",2026-04-21 09:13:57,"1852c490-7adc-4040-ba4b-986437cd924f"
"Kamerbrief inzake De Goedkeuring van de op 28 mei 2022 te Genève aangenomen wijzigingen van de op 23 mei 2005 te Genève tot stand gekomen Internationale Gezondheidsregeling (2005) (Trb. 2022, 135) (36534(R2193))","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/21/kamerbriefinzakedegoedkeuringvandeop28mei2022tegeneveaangenomenwijzigingenvandeop23mei2005tegenevetotstandgekomeninternationalegezondheidsregeling2005trb202213536534r2193","Kamerbrief inzake De Goedkeuring van de op 28 mei 2022 te Genève aangenomen wijzigingen van de op 23 mei 2005 te Genève tot stand gekomen Internationale Gezondheidsregeling (2005) (Trb. 2022, 135) (36534(R2193))",2026-04-21 09:13:56,"7396cae5-eb31-4db4-b5cc-3c282e87027c"
"Kamerbrief met reactie op petitie Zonvenant en huidkankerpreventie","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/21/kamerbriefinzakezonvenant","Minister Hermans (VWS) stuurt de Tweede Kamer een reactie op de petitie over het Zonvenant en structurele huidkankerpreventie. De vaste Kamercommissie voor Volksgezondheid, Welzijn en Sport had om een reactie verzocht.Kamerbrief met reactie op petitie Zonvenant en huidkankerpreventie",2026-04-21 08:52:36,"3fb17146-ee78-4f92-8e01-e4a5d8f0e1f7"
"Kamerbrief over hack ChipSoft","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/21/kamerbriefoverhackchipsoft","Minister Sterk (Langdurige Zorg, Jeugd en Sport) informeert de Tweede Kamer over de aanval van hackers op het bedrijf ChipSoft. Bij de hack zijn gegevens van patiënten van zorgaanbieders gestolen.Kamerbrief over hack ChipSoft",2026-04-21 08:45:18,"088603bf-b864-4376-bcdd-25ef1be655bf"
"Beantwoording Kamervragen van de leden Vervuurt en El Boujdaini (beiden D66) over een datahack in de zorgsector","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/21/beantwoordingkamervragenvandeledenvervuurtenelboujdainibeidend66overeendatahackindezorgsector","Beantwoording Kamervragen van de leden Vervuurt en El Boujdaini (beiden D66) over een datahack in de zorgsector",2026-04-21 08:45:11,"c994cfd2-0175-4385-b343-fad45c65a1af"
"Kamerbrief over toezicht op naleving AI-verordening","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/20/inrichtingtoezichtopdenalevingvandeaiverordening","Staatssecretaris Aerdts (Digitale Economie en Soevereiniteit) informeert de Tweede Kamer over de wijze waarop het kabinet van plan is het toezicht op de naleving van de Europese AI-verordening vorm te geven.Kamerbrief over toezicht op naleving AI-verordening",2026-04-20 23:00:01,"b27fec35-55c0-4f53-aff8-124f682d76e7"
