"item_title","item_link","item_description","item_pub_date","item_guid"
"Kamerbrief over moties en toezeggingen kraamzorg","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/03/moties-en-toezeggingen-kraamzorg","Minister Hermans (VWS) informeert de Tweede Kamer over de uitvoering van moties en toezeggingen over de kraamzorg.Kamerbrief over moties en toezeggingen kraamzorg",2026-03-26 07:39:51,"3196c4f5-84ce-4f78-a7a8-21ec5c7e86b0"
"Kamerbrief over aanvragen subsidieregeling Stimulering Bouw en Onderhoud Sportaccommodaties","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/06/kamerbrief-over-bosa-aanvragen-en-appreciatie-amendement-bosa","Minister Sterk (Langdurige Zorg, Jeugd en Sport) informeert de Tweede Kamer over de ontvangen aanvragen voor de subsidieregeling Stimulering Bouw en Onderhoud Sportaccommodaties (BOSA). Kamerbrief over aanvragen subsidieregeling Stimulering Bouw en Onderhoud Sportaccommodaties",2026-03-25 16:37:47,"c32d6921-bac1-4be9-91aa-1df7bf994ab8"
"Kamerbrief appreciatie gewijzigd amendement Bikker c.s.","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/24/kamerbrief-over-appreciatie-gewijzigd-amendement-bikker-c-s","Minister Hermans (VWS) stuurt de Tweede Kamer haar appreciatie (reactie) op het gewijzigde amendement van het Tweede Kamerlid Bikker c.s.. Het amendement gaat over middelen voor de publieke gezondheidszorg en infectieziektebestrijding om de zorg weerbaar te makenKamerbrief appreciatie gewijzigd amendement Bikker c.s.",2026-03-25 15:36:27,"1f22f885-b6c2-4bb6-9f17-81eadc8d62f2"
"Antwoorden op Kamervragen over bericht 'Extra geld voor de holocausteducatie via de CJP Cultuurkaart'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/24/antwoorden-op-de-vragen-van-de-leden-brink-armut-en-tijmstra-allen-cda-over-het-bericht-extra-geld-voor-de-holocausteducatie-via-de-cjp-cultuurkaart","Minister Sterk (Langdurige Zorg, Jeugd en Sport) geeft antwoord op vragen over het bericht 'Extra geld voor de holocausteducatie via de CJP Cultuurkaart'. De Tweede Kamerleden Brink, Armut en Tijmstra (allen CDA) hadden de vragen gesteld.Antwoorden op Kamervragen over bericht 'Extra geld voor de holocausteducatie via de CJP Cultuurkaart'",2026-03-25 15:08:29,"1a994fc1-9fce-4cee-b2e8-0bb2de3143f7"
"Aanbiedingsbrief afschrift Tweede Kamerbrief over continuïteit gehandicaptenzorg in Drenthe en Groningen","https://www.rijksoverheid.nl/documenten/kamerstukken/2025/12/18/afschrift-brief-met-nadere-informatie-continuiteit-van-gehandicaptenzorg-in-drenthe-en-groningen","Staatssecretaris Pouw-Verweij (Langdurige en Maatschappelijke Zorg) stuurt de Eerste Kamer een afschrift van de brief aan de Tweede Kamer met nadere informatie over de continuïteit van de gehandicaptenzorg in Drenthe en Groningen.Aanbiedingsbrief afschrift Tweede Kamerbrief over continuïteit gehandicaptenzorg in Drenthe en Groningen",2026-03-25 13:08:24,"7f761eae-72ac-4057-8806-2bc9586f770d"
"Afschrift Kamerbrief nadere informatie continuïteit gehandicaptenzorg in Drenthe en Groningen","https://www.rijksoverheid.nl/documenten/kamerstukken/2025/12/15/verzonden-brief-tk-15-december-2025","Staatssecretaris Pouw-Verweij (Langdurige en Maatschappelijke Zorg) informeert de Tweede Kamer over de continuïteit van gehandicaptenzorg in Drenthe en Groningen.Afschrift Kamerbrief nadere informatie continuïteit gehandicaptenzorg in Drenthe en Groningen",2026-03-25 13:08:24,"fcde85af-74df-4557-a1e9-b584a9dbcc7d"
"Aanbiedingsbrief bij Evaluatie subsidieregeling opvang kinderen van ouders met een trekkend/varend bestaan","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/23/kamerbrief-over-aanbieding-eindrapport-evaluatie-subsidieregeling-opvang-kinderen-van-ouders-met-een-trekkend-of-varend-bestaan","Minister Sterk (Langdurige Zorg, Jeugd en Sport) stuurt de Tweede Kamer de Evaluatie subsidieregeling opvang kinderen van ouders met een trekkend/varend bestaan.Aanbiedingsbrief bij Evaluatie subsidieregeling opvang kinderen van ouders met een trekkend/varend bestaan",2026-03-25 12:02:27,"6d7a840d-e05d-4327-8e3f-ad46980045b7"
"Antwoorden op vragen over voorkomen en herkennen van seksueel grensoverschrijdend gedrag in de zorg","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/24/antwoorden-op-de-vragen-van-het-lid-westerveld-groenlinks-pvda-over-het-voorkomen-en-herkennen-van-seksueel-grensoverschrijdend-gedrag-in-de-zorg","Minister Sterk (Langdurige Zorg, Jeugd en Sport) beantwoordt vragen over voorkomen en herkennen van seksueel grensoverschrijdend gedrag in de zorg. De vragen zijn van het Kamerlid Westerveld (GroenLinks-PvdA).Antwoorden op vragen over voorkomen en herkennen van seksueel grensoverschrijdend gedrag in de zorg",2026-03-25 10:50:37,"a9bb4737-f5b3-4a19-94d2-b063b867572c"
"Kamerbrief over knelpunten bij plaatsen mantelzorgwoningen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/kamerbrief-over-verzoek-om-reactie-op-brief-over-knelpunten-bij-realisatie-van-mantelzorgwoningen","Minister Sterk (Langdurige Zorg, Jeugd en Sport)  stuurt de Tweede Kamer haar reactie op de brief over de belemmerende  regelgeving rondom het plaatsen van een mantelzorgwoning. De vaste Tweede Kamercommissie voor VWS had de minister om een reactie op de brief gevraagd.Kamerbrief over knelpunten bij plaatsen mantelzorgwoningen",2026-03-25 10:12:01,"2969e1a8-bb78-4030-82d4-9a1e842534d5"
"Kamerbrief over vierde Landelijke Agenda suïcidepreventie ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/24/kamerbrief-over-vierde-landelijke-agenda-suicidepreventie-van-start","Minister Hermans (VWS) informeert de Tweede Kamer over de uitvoering van de vierde Landelijke Agenda Suïcidepreventie en over de financiering van de hulplijn en suïcidepreventie in de gesloten jeugdhulp. De Eerste Kamer heeft eenzelfde brief gekregen.Kamerbrief over vierde Landelijke Agenda suïcidepreventie",2026-03-24 15:42:44,"0fec7bc1-6002-4d36-aa51-e59884fcca70"
