"item_title","item_link","item_description","item_pub_date","item_guid"
"Schriftelijke beantwoording vragen eerste termijn Begrotingsbehandeling VWS 2026 en appreciatie amendementen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/04/schriftelijke-beantwoording-vragen-eerste-termijn-begrotingsbehandeling-vws-2026-en-appreciatie-amendementen","Schriftelijke beantwoording vragen eerste termijn Begrotingsbehandeling VWS 2026 en appreciatie amendementen",2026-03-04 17:18:55,"d796af36-4082-4186-9cf0-0a61294aff4e"
"Kamerbrief over Financiën Wlz-gehandicaptenzorg","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/04/kamerbrief-over-financien-wlz-gehandicaptenzorg","Kamerbrief over Financiën Wlz-gehandicaptenzorg",2026-03-04 16:58:57,"55e15b0a-61af-4171-b0cd-39041af8bf2e"
"Kamerbrief over vragen over de beschikbaarheidbijdrage voor (medische) vervolgopleidingen 2026","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/02/commissiebrief-eerste-kamer-inzake-vragen-m-b-t-de-aanwijzing-aan-de-nza-inzake-de-beschikbaarheidbijdrage-medische-vervolgopleidingen-2026","Minister Sterk (Langdurige Zorg, Jeugd en Sport) informeert de Eerste Kamer van de beschikbaarheidbijdrage op grond van artikel 56a van de Wet marktordening gezondheidszorg (Wmg). Met deze brief worden vragen beantwoordt van de leden van de fractie BBB.Kamerbrief over vragen over de beschikbaarheidbijdrage voor (medische) vervolgopleidingen 2026",2026-03-04 16:34:52,"72349a5e-df1a-4663-9d8f-395ef1e04718"
"Kamerbrief over reactie op petitie 'Bied jongeren met long covid een toekomst'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/01/29/kamerbrief-over-reactie-op-de-petitie-bied-jongeren-met-long-covid-een-toekomst","Minister Bruijn (VWS) stuurt de Tweede Kamer reactie op petitie 'Bied jongeren met long covid een toekomst'. De vaste Tweede Kamercommissie voor Volksgezondheid, Welzijn en Sport (VWS) had de minister om een reactie op de petitie gevraagd.Kamerbrief over reactie op petitie 'Bied jongeren met long covid een toekomst'",2026-03-04 15:54:51,"405b0c3f-3d6c-414a-b3c8-adf9d89d27dc"
"Antwoorden op Kamervragen over het sluiten van zorgvilla’s","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/02/antwoorden-op-kamervragen-over-het-sluiten-van-zorgvilla-s","Minister Sterk (Langdurige Zorg, Jeugd en Sport) geeft antwoord op vragen over het bericht 'Zorgvilla sluit plots de deuren: ""We dachten dat het een phishingmail was. Dit kan toch niet?""'. Het Tweede Kamerlid Westerveld (GL-PvdA) had de vragen gesteld.Antwoorden op Kamervragen over het sluiten van zorgvilla’s",2026-03-04 15:54:03,"77b52f61-fd9f-4fa4-a0c9-a06b0fb7538e"
"Kamerbrief over 260224 Uitstel Harbersbrief maatschappelijke Ondersteuning 2026","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/03/kamerbrief-over-260224-uitstel-harbersbrief-maatschappelijke-ondersteuning-2026","Kamerbrief over 260224 Uitstel Harbersbrief maatschappelijke Ondersteuning 2026",2026-03-03 14:27:55,"2cdfacae-1d42-4b0a-9fe2-cccbb5dc2f42"
"antwoorden op de vragen van het lid Vliegenthart (GROENLINKS-PVDA) over wereldwijde handel in donorzaad","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/03/antwoorden-op-de-vragen-van-het-lid-vliegenthart-groenlinks-pvda-over-wereldwijde-handel-in-donorzaad","antwoorden op de vragen van het lid Vliegenthart (GROENLINKS-PVDA) over wereldwijde handel in donorzaad",2026-03-03 11:21:17,"cecd238d-218b-4fd9-8b21-16b62ae9278b"
"antwoorden op de vragen van het lid Bikker (CU) over de uitzending ‘Zaad zonder grenzen’ van Zembla","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/03/antwoorden-op-de-vragen-van-het-lid-bikker-cu-over-de-uitzending-zaad-zonder-grenzen-van-zembla","antwoorden op de vragen van het lid Bikker (CU) over de uitzending ‘Zaad zonder grenzen’ van Zembla",2026-03-03 10:53:33,"b06233db-2c93-41a1-966c-a48a7e541ffa"
"Moties en toezeggingen kraamzorg","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/03/moties-en-toezeggingen-kraamzorg","Moties en toezeggingen kraamzorg",2026-03-03 10:38:49,"3196c4f5-84ce-4f78-a7a8-21ec5c7e86b0"
"Antwoorden op Kamervragen over bericht ‘Plotseling sluit zorgvilla van Fenna (2)’ ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/02/antwoorden-op-kamervragen-over-het-bericht-plotseling-sluit-zorgvilla-van-fenna-2-kosten-te-hoog-en-problemen-met-bezetting","Minister Sterk (Langdurige Zorg, Jeugd en Sport) geeft antwoord op vragen over het bericht ‘Plotseling sluit zorgvilla van Fenna (2), kosten te hoog en problemen met bezetting’. Het Tweede Kamerlid Maeijer (PVV) had de vragen gesteld.Antwoorden op Kamervragen over bericht ‘Plotseling sluit zorgvilla van Fenna (2)’",2026-03-03 10:29:44,"b1bfe451-18b7-4f03-8940-939e1fc8446d"
"Verslag Schriftelijk Overleg (VSO) inzake Toegankelijkheid van de huisartsenzorg","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/03/verslag-schriftelijk-overleg-vso-inzake-toegankelijkheid-van-de-huisartsenzorg","Verslag Schriftelijk Overleg (VSO) inzake Toegankelijkheid van de huisartsenzorg",2026-03-03 08:16:51,"19eedae8-f13e-4f6f-9ecb-f558a9e5e63a"
"Kamerbrief inzake AZWA-afspraken huisartsenzorg","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/03/kamerbrief-inzake-azwa-afspraken-huisartsenzorg","Kamerbrief inzake AZWA-afspraken huisartsenzorg",2026-03-03 08:15:11,"7f98e51d-466a-4367-9439-75b76b49e452"
"Antwoorden Kamervragen over het bericht over reclame coffeeshops voor space donuts ondanks streng verbod","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/02/antwoorden-kamervragen-over-het-bericht-coffeeshops-maken-volop-reclame-voor-space-donuts-ondanks-streng-verbod-online-kan-blijkbaar-alles","Minister Van Weel (JenV) en minister Hermans (VWS) geven antwoorden op Kamervragen naar aanleiding van het bericht 'Coffeeshops maken volop reclame voor 'space donuts' ondanks streng verbod: 'Online kan blijkbaar alles''. Het Tweede Kamerlid Tijs van den Brink (CDA) had de vragen gesteld.Antwoorden Kamervragen over het bericht over reclame coffeeshops voor space donuts ondanks streng verbod",2026-03-03 06:33:54,"1547260f-11f7-4ca4-9fa3-28105e5578f1"
"Kamerbrief met reactie op rapporteursnotitie ontwerpbegroting VWS 2026 ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/27/kamerbrief-over-verzoek-om-reactie-op-rapporteursnotitie-ontwerpbegroting-vws-2026","Minister Hermans (VWS) en minister Sterk (Langdurige Zorg, Jeugd en Sport) sturen de Tweede Kamer hun reactie op de rapporteursnotitie van de ontwerpbegroting VWS 2026. De vaste commissie voor Volksgezondheid, Welzijn en Sport had hierom verzocht.Kamerbrief met reactie op rapporteursnotitie ontwerpbegroting VWS 2026",2026-03-02 14:58:26,"e5dbb337-dda5-42ec-b45c-05fc939454a0"
"Aanbiedingsbrief bij informatiekaart zorgverzekeringen 2026 NZa","https://www.rijksoverheid.nl/documenten/kamerstukken/2025/12/16/kamerbrief-over-informatiekaart-zorgverzekeringen-2026-nza","Minister Bruijn (VWS) biedt de Tweede Kamer de informatiekaart zorgverzekeringen 2026 aan. Deze publicatie gaat over trends en ontwikkelingen in premies, polissen en contractering bij zorgverzekeringen voor 2026. De publicatie is opgesteld door de Nederlandse Zorgautoriteit (NZa).  Aanbiedingsbrief bij informatiekaart zorgverzekeringen 2026 NZa",2026-03-02 14:55:00,"06dd2891-bb61-4192-845d-a29be2439918"
"Kabinetsreactie op bericht dat gemeenten steeds strenger worden met het toekennen van pgb-budgetten","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/02/kabinetsreactie-op-bericht-dat-gemeenten-steeds-strenger-worden-met-het-toekennen-van-pgb-budgetten","Kabinetsreactie op bericht dat gemeenten steeds strenger worden met het toekennen van pgb-budgetten",2026-03-02 12:46:38,"0816a4c9-9eec-48bc-8786-86fd883262ca"
"Antwoorden op Kamervragen over de sluiting van verpleegkundig kinderzorghuizen voor ernstig zieke kinderen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/02/antwoorden-op-kamervragen-over-het-bericht-dat-vier-specialistische-zorgvilla-s-voor-ernstig-zieke-en-gehandicapte-kinderen-onverwachts-gaan-sluiten","Antwoorden op Kamervragen over de sluiting van verpleegkundig kinderzorghuizen voor ernstig zieke kinderen",2026-03-02 12:34:09,"6c8924e5-0225-4d4f-b0ae-41448e75d789"
"Antwoorden op Kamervragen over het bericht dat vier specialistische zorgvilla’s voor ernstig zieke en gehandicapte kinderen onverwachts gaan sluiten","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/02/antwoorden-op-kamervragen-over-het-bericht-dat-vier-specialistische-zorgvilla-s-voor-ernstig-zieke-en-gehandicapte-kinderen-onverwachts-gaan-sluiten%5B2%5D","Antwoorden op Kamervragen over het bericht dat vier specialistische zorgvilla’s voor ernstig zieke en gehandicapte kinderen onverwachts gaan sluiten",2026-03-02 12:31:46,"81f0c2fe-bc48-4bef-81d8-0ac15901c331"
"Kamerbrief over Vertrouwelijke inzage brief voorlopig politiek akkoord Europese geneesmiddelenwetgeving","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/02/kamerbrief-over-vertrouwelijke-inzage-brief-voorlopig-politiek-akkoord-europese-geneesmiddelenwetgeving","Kamerbrief over Vertrouwelijke inzage brief voorlopig politiek akkoord Europese geneesmiddelenwetgeving",2026-03-02 12:18:38,"1ef6d3ce-9036-408e-a1ef-bb5f99124d40"
"Kamerbrief over februaribrief NZa","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/27/kamerbrief-over-februaribrief-nza","Minister Sterk (Langdurige Zorg, Jeugd en Sport) stuurt de Tweede Kamer de februaribrief over de toereikendheid van het budgettaire kader Wet langdurige zorg (Wlz) voor 2026.Kamerbrief over februaribrief NZa",2026-03-02 11:05:52,"9d39076f-cc44-40cb-ae30-265b03e07fe3"
