"item_title","item_link","item_description","item_pub_date","item_guid"
"Kamerbrief over beleidsreactie op advies 'Risicoreductie en vroegdiagnostiek van dementie'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/19/kamerbrief-over-beleidsreactie-gr-advies-risicoreductie-en-vroegdiagnostiek-dementie","Minister Sterk (Langdurige Zorg, Jeugd en Sport) informeert de Tweede Kamer over de beleidsreactie op het adviesrapport ‘Risicoreductie en vroegdiagnostiek van dementie’ van de Gezondheidsraad. Kamerbrief over beleidsreactie op advies 'Risicoreductie en vroegdiagnostiek van dementie'",2026-03-19 14:56:18,"68d208b4-5216-4532-bc75-326bdafb7647"
"Aanbiedingsbrief bij evaluatie subsidieregeling Donatie bij Leven","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/kamerbrief-over-evaluatie-subsidieregeling-donatie-bij-leven","Minister Hermans (VWS) biedt de Tweede Kamer het evaluatierapport aan van de subsidieregeling Donatie bij Leven.Aanbiedingsbrief bij evaluatie subsidieregeling Donatie bij Leven",2026-03-19 13:10:51,"77c84e73-bca8-4373-af19-b6f4a31454a4"
"Antwoorden op Kamervragen over misstanden en uitbuiting jongeren in gastgezinnen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/12/antwoorden-op-kamervragen-over-de-misstanden-en-uitbuiting-van-nederlandse-jongeren-in-franse-gastgezinnen","Minister Sterk (Langdurige Zorg, Jeugd en Sport) geeft antwoord op vragen over de misstanden en uitbuiting van Nederlandse jongeren in Franse gastgezinnen. Het Tweede Kamerlid (GL-PvdA) had de vragen gesteld.Antwoorden op Kamervragen over misstanden en uitbuiting jongeren in gastgezinnen",2026-03-19 10:52:36,"f0f14fb3-9d4b-4f80-a53b-ba9e45621a3f"
"Antwoorden op Kamervragen (VSO) over toegankelijkheid huisartsenzorg ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/03/verslag-schriftelijk-overleg-vso-inzake-toegankelijkheid-van-de-huisartsenzorg","Minister Hermans (VWS) geeft antwoord op de vragen over toegankelijkheid van de huisartsenzorg. De vragen zijn gesteld door de vaste Tweede Kamercommissie voor Volksgezondheid, Welzijn en Sport in een verslag van een schriftelijk overleg (VSO) met de minister.Antwoorden op Kamervragen (VSO) over toegankelijkheid huisartsenzorg",2026-03-18 15:56:51,"19eedae8-f13e-4f6f-9ecb-f558a9e5e63a"
"Kamerbrief over AZWA-afspraken huisartsenzorg","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/03/kamerbrief-inzake-azwa-afspraken-huisartsenzorg","Minister Hermans (VWS) informeert de Tweede Kamer over een aantal belangrijke stappen die zijn gezet bij de uitvoering van de AZWA-afspraken over de huisartsenzorg.Kamerbrief over AZWA-afspraken huisartsenzorg",2026-03-18 15:38:51,"7f98e51d-466a-4367-9439-75b76b49e452"
"Uitstelbrief antwoorden op Kamervragen over de continuïteit van jeugdhulp in Lelystad","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/18/uitstelbrief-antwoorden-kamervragen-over-de-continuiteit-van-jeugdhulp-in-lelystad","Minister Sterk (Langdurige Zorg, Jeugd en Sport) meldt de Tweede Kamer dat de antwoorden op Kamervragen over de continuïteit van jeugdhulp in Lelystad later komen dan gebruikelijk. Het Tweede Kamerlid Moinat (PVV) heeft de vragen gesteld.Uitstelbrief antwoorden op Kamervragen over de continuïteit van jeugdhulp in Lelystad",2026-03-18 13:59:38,"96bb07ed-1c34-4714-b239-ec819de1aaa2"
"Antwoorden op Kamervragen over het bericht 'Opleiding die huisartsentekort had kunnen oplossen alweer weg uit Zeeland' ","https://www.rijksoverheid.nl/documenten/kamerstukken/2024/12/05/antwoorden-op-kamervragen-over-het-bericht-opleiding-die-huisartsentekort-had-kunnen-oplossen-alweer-weg-uit-zeeland","Minister Agema (VWS) meldt dat de antwoorden op vragen over het bericht 'Opleiding die huisartsentekort had kunnen oplossen alweer weg uit Zeeland'  later komen dan gebruikelijk. De Tweede Kamerleden n Tielen en Van den Hil (beiden VVD) hebben de vragen gesteld. Antwoorden op Kamervragen over het bericht 'Opleiding die huisartsentekort had kunnen oplossen alweer weg uit Zeeland'",2026-03-17 16:25:46,"addee941-2c62-4edc-89c4-d60bc2462133"
"Antwoorden Kamervragen over het bericht dat Leeuwarden kampt met drugsoverlast en dakloosheid","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/antwoorden-kamervragen-over-het-bericht-leeuwarden-kampt-met-drugsoverlast-en-dakloosheid-we-kunnen-dit-niet-accepteren","Minister Van Weel (JenV) geeft antwoord opKamervragen naar aanleiding van het bericht 'Leeuwarden kampt met drugsoverlast en dakloosheid. 'We kunnen dit niet accepteren''. De Tweede Kamerleden  Schilder en Moinat (beiden Groep Markuszower) hadden de vragen gesteld.Antwoorden Kamervragen over het bericht dat Leeuwarden kampt met drugsoverlast en dakloosheid",2026-03-17 15:17:23,"581391d9-e783-4caa-9eaa-fdd5fefd24e0"
"Kamerbrief over Voortgangsbrief Langdurige ggz","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/17/kamerbrief-over-voortgangsbrief-langdurige-ggz","Kamerbrief over Voortgangsbrief Langdurige ggz",2026-03-17 14:51:38,"a58b06bd-20fe-4a70-939a-e33056966309"
"Kamerbrief over 2 RIVM-rapporten over PFAS in lokaal voedsel","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/kamerbrief-over-twee-rivm-producten-over-pfas-in-lokaal-voedsel","Minister Hermans stuurt de Tweede Kamer 2 documenten van het Rijksinstituut voor Volksgezondheid en Milieu (RIVM): - een rapport over de bron van PFAS in eieren van hobbykippen en - een kennisnotitie over PFAS in lokaal geproduceerd voedsel, zoals producten uit moestuinen, zelf gevangen vis en zelf geraapte mosselen en oesters.Kamerbrief over 2 RIVM-rapporten over PFAS in lokaal voedsel",2026-03-17 14:47:48,"df0d42c2-06bf-484b-8328-0e84c344862d"
"Kamerbrief over Schriftelijk Overleg (SO) Mondzorg en financiële toegankelijkheid (TK  32620-312)","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/17/kamerbrief-over-schriftelijk-overleg-so-mondzorg-en-financiele-toegankelijkheid-tk-32620-312","Kamerbrief over Schriftelijk Overleg (SO) Mondzorg en financiële toegankelijkheid (TK  32620-312)",2026-03-17 11:39:33,"7b5ec0d1-1b40-4dce-9ea9-b57e7360a4f2"
"Kamerbrief over reflectie euthanasie bij psychisch lijden jonge mensen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/11/kamerbrief-over-stand-van-zaken-uitvoering-moties-en-toezegging-naar-aanleiding-van-de-initiatiefnota-van-het-lid-de-korte","Minister Hermans (VWS) stuurt de Tweede Kamer haar reactie op de brief over kritische reflectie op euthanasie bij psychisch lijden van jonge mensen. De vaste commissie voor VWS had de minister om een reactie op de brief gevraagd. Kamerbrief over reflectie euthanasie bij psychisch lijden jonge mensen",2026-03-16 16:57:26,"adbd5c2b-9411-48a4-8c52-000f85c6d979"
"Antwoorden op Kamervragen over terugroepactie babyvoeding Danone","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/09/antwoorden-op-kamervragen-over-de-terugroepactie-van-babyvoeding-door-danone","Minister Van Hermans (VWS) geeft antwoord op vragen over de terugroepactie van babyvoeding door Danone. Het Tweede Kamerlid Diederik van Dijk (SGP) had de vragen gesteld.Antwoorden op Kamervragen over terugroepactie babyvoeding Danone",2026-03-16 16:39:12,"84cc9adc-b40f-4322-b2ad-e624e531d5d3"
"Kamerbrief over 'Zorgproducenten luiden noodklok verregaande verschraling dreigt'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/01/19/commissiebrief-inzake-verzoek-brandbrief-zorgproducenten-luiden-noodklok-verregaande-verschraling-dreigt","Minister Bruijn (VWS) stuurt de Tweede Kamer zijn reactie op de brief 'Zorgproducenten luiden noodklok ""verregaande verschraling dreigt""'. De vaste Tweede Kamercommissie voor VWS had de minister om een reactie op de petitie gevraagd.Kamerbrief over 'Zorgproducenten luiden noodklok verregaande verschraling dreigt'",2026-03-16 16:28:51,"a08868de-dc6c-4aa4-ae71-2930e920edbc"
"Kamerbrief over Wijziging van de Wet op de beroepen in de individuele gezondheidszorg in verband met het opnemen van medisch hulpverlener acute zorg en klinisch fysicus in de lijst van registerberoepen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/kamerbrief-over-wijziging-van-de-wet-op-de-beroepen-in-de-individuele-gezondheidszorg-in-verband-met-het-opnemen-van-medisch-hulpverlener-acute-zorg-en-klinisch-fysicus-in-de-lijst-van-registerberoepen","Kamerbrief over Wijziging van de Wet op de beroepen in de individuele gezondheidszorg in verband met het opnemen van medisch hulpverlener acute zorg en klinisch fysicus in de lijst van registerberoepen",2026-03-16 16:01:40,"52a4e824-6b16-49e9-9ba7-5978ee19068b"
"Nota naar aanleiding verslag Wijziging van de Wet","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/nota-naar-aanleiding-verslag-wijziging-van-de-wet","Nota naar aanleiding verslag Wijziging van de Wet",2026-03-16 16:01:40,"5e3a0f7d-0eba-4f75-b3ed-b588c56f7a28"
"Nota van wijziging MHAZ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/nota-van-wijziging-mhaz","Nota van wijziging MHAZ",2026-03-16 16:01:38,"fd23f54c-e996-403d-8172-f61a9456da7b"
"Kamerbrief over verzoek om reactie op brief over knelpunten bij realisatie van mantelzorgwoningen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/kamerbrief-over-verzoek-om-reactie-op-brief-over-knelpunten-bij-realisatie-van-mantelzorgwoningen","Kamerbrief over verzoek om reactie op brief over knelpunten bij realisatie van mantelzorgwoningen",2026-03-16 15:48:20,"2969e1a8-bb78-4030-82d4-9a1e842534d5"
"Kamerbrief over  beantwoording vragen palliatieve zorg bij begrotingsbehandeling VWS 2026","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/kamerbrief-over-beantwoording-vragen-palliatieve-zorg-bij-begrotingsbehandeling-vws-2026","Kamerbrief over  beantwoording vragen palliatieve zorg bij begrotingsbehandeling VWS 2026",2026-03-16 15:45:41,"b2cff57e-9b7f-4e86-906b-a3415fdb61c8"
"Kamerbrief over Opvolging toezeggingen WGO gehandicaptenbeleid 9 maart 2026","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/16/kamerbrief-over-opvolging-toezeggingen-wgo-gehandicaptenbeleid-9-maart-2026","Kamerbrief over Opvolging toezeggingen WGO gehandicaptenbeleid 9 maart 2026",2026-03-16 14:37:43,"4a9d1b2e-4ff9-4ba7-bb4f-fe526266e992"
