"item_title","item_link","item_description","item_pub_date","item_guid"
"Kamerbrief over beantwoording Kamervragen van de BBB-fractie over de voorgehangen ontwerpregeling maximumprijzen geneesmiddelen per 1 april 2026 (29.477, P)","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/06/kamerbrief-over-beantwoording-kamervragen-van-de-bbb-fractie-over-de-voorgehangen-ontwerpregeling-maximumprijzen-geneesmiddelen-per-1-april-2026-29-477-p","Kamerbrief over beantwoording Kamervragen van de BBB-fractie over de voorgehangen ontwerpregeling maximumprijzen geneesmiddelen per 1 april 2026 (29.477, P)",2026-03-06 09:53:59,"2fa89a3c-f423-494b-99b8-2e766829fe8d"
"Kamerbrief over financiën Wlz-gehandicaptenzorg","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/04/kamerbrief-over-financien-wlz-gehandicaptenzorg","Minister Sterk (Langdurige Zorg, Jeugd en Sport) informeert de Tweede Kamer over financiële ontwikkelingen binnen de  gehandicaptenzorg.Kamerbrief over financiën Wlz-gehandicaptenzorg",2026-03-05 16:54:56,"55e15b0a-61af-4171-b0cd-39041af8bf2e"
"Kamerbrief over actuele ontwikkelingen in de uitvoering van de Wbmv","https://www.rijksoverheid.nl/documenten/kamerstukken/2025/11/24/kamerbrief-over-actuele-ontwikkelingen-in-de-uitvoering-van-de-wet-op-bijzondere-medische-verrichtingen","Minister Bruijn (VWS) informeert de Tweede Kamer over actuele ontwikkelingen in de uitvoering van de Wet op bijzondere medische verrichtingen (Wmbv). Daarnaast gaat hij in op het advies van de Gezondheidsraad over verbetering van het beleid en de uitvoering van de Wbmv.Kamerbrief over actuele ontwikkelingen in de uitvoering van de Wbmv",2026-03-05 14:39:59,"23434a11-e021-439a-b6c1-14804c7a30ec"
"Uitstelbrief  antwoorden Kamervragen over  de berichten ‘Laboratoria vinden nog veel meer asbest in speelgoed, ook in “magisch” speelzand’ en ‘Asbest in speelzand voor kinderen: “Dit is echt heel ernstig”’ ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/05/uitstelbrief-antwoorden-kamervragen-over-de-berichten-laboratoria-vinden-nog-veel-meer-asbest-in-speelgoed-ook-in-magisch-speelzand-en-asbest-in-speelzand-voor-kinderen-dit-is-echt-heel-ernstig","Uitstelbrief  antwoorden Kamervragen over  de berichten ‘Laboratoria vinden nog veel meer asbest in speelgoed, ook in “magisch” speelzand’ en ‘Asbest in speelzand voor kinderen: “Dit is echt heel ernstig”’",2026-03-05 09:36:51,"7bd5211d-3fb2-4889-b37a-73307adc5109"
" Kamerbrief over vertrouwelijke brief akkoord Europese geneesmiddelenwetgeving","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/02/kamerbrief-over-vertrouwelijke-inzage-brief-voorlopig-politiek-akkoord-europese-geneesmiddelenwetgeving","Minister Hermans (VWS) biedt de Tweede Kamer een vertrouwelijke inzage van de brief aan over het voorlopig politiek akkoord tussen de Raad van de Europese Unie, het Europees Parlement en de Europese Commissie. Kamerbrief over vertrouwelijke brief akkoord Europese geneesmiddelenwetgeving",2026-03-05 09:10:14,"1ef6d3ce-9036-408e-a1ef-bb5f99124d40"
"Uitstelbrief antwoorden Kamervragen over slechtere zorg na overname huisartsenpraktijk door commerciële partij Arts en Zorg","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/05/uitstelbrief-antwoorden-kamervragen-over-slechtere-zorg-na-overname-huisartsenpraktijk-door-commerciele-partij-arts-en-zorg","Uitstelbrief antwoorden Kamervragen over slechtere zorg na overname huisartsenpraktijk door commerciële partij Arts en Zorg",2026-03-05 09:06:35,"5981d651-184a-4894-9e0b-338804fcf4f0"
"Kamerbrief over overzicht onderzoek dementie en sekseverschillen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/05/kamerbrief-over-overzicht-onderzoek-dementie-en-sekseverschillen","Kamerbrief over overzicht onderzoek dementie en sekseverschillen",2026-03-05 08:08:50,"1030944d-cbe0-49c0-b07a-ddedeff91744"
"Schriftelijke beantwoording vragen eerste termijn Begrotingsbehandeling VWS 2026 en appreciatie amendementen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/04/schriftelijke-beantwoording-vragen-eerste-termijn-begrotingsbehandeling-vws-2026-en-appreciatie-amendementen","Schriftelijke beantwoording vragen eerste termijn Begrotingsbehandeling VWS 2026 en appreciatie amendementen",2026-03-04 17:18:55,"d796af36-4082-4186-9cf0-0a61294aff4e"
"Kamerbrief over vragen over de beschikbaarheidbijdrage voor (medische) vervolgopleidingen 2026","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/02/commissiebrief-eerste-kamer-inzake-vragen-m-b-t-de-aanwijzing-aan-de-nza-inzake-de-beschikbaarheidbijdrage-medische-vervolgopleidingen-2026","Minister Sterk (Langdurige Zorg, Jeugd en Sport) informeert de Eerste Kamer van de beschikbaarheidbijdrage op grond van artikel 56a van de Wet marktordening gezondheidszorg (Wmg). Met deze brief worden vragen beantwoordt van de leden van de fractie BBB.Kamerbrief over vragen over de beschikbaarheidbijdrage voor (medische) vervolgopleidingen 2026",2026-03-04 16:34:52,"72349a5e-df1a-4663-9d8f-395ef1e04718"
"Kamerbrief over reactie op petitie 'Bied jongeren met long covid een toekomst'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/01/29/kamerbrief-over-reactie-op-de-petitie-bied-jongeren-met-long-covid-een-toekomst","Minister Bruijn (VWS) stuurt de Tweede Kamer reactie op petitie 'Bied jongeren met long covid een toekomst'. De vaste Tweede Kamercommissie voor Volksgezondheid, Welzijn en Sport (VWS) had de minister om een reactie op de petitie gevraagd.Kamerbrief over reactie op petitie 'Bied jongeren met long covid een toekomst'",2026-03-04 15:54:51,"405b0c3f-3d6c-414a-b3c8-adf9d89d27dc"
