"item_title","item_link","item_description","item_pub_date","item_guid"
"Antwoorden op Kamervragen over agressie in de zorg","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/01/19/beantwoording-kamervragen-over-agressie-in-de-zorg","Minister Bruijn (VWS) geeft antwoord op vragen over de waarneming dat agressie in de zorg vaker voorkomt bij migrantenfamilies. Het Tweede Kamerlid Van Houwelingen (FVD) had de vragen gesteld.Antwoorden op Kamervragen over agressie in de zorg",2026-02-26 10:29:10,"f32320fd-c2f5-4125-972d-7b47451dd691"
"Uitstelbrief antwoorden Kamervragen over het bericht ‘Plotseling sluit zorgvilla van Fenna (2), kosten te hoog en problemen met bezetting’ ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/25/uitstelbrief-antwoorden-kamervragen-over-het-bericht-plotseling-sluit-zorgvilla-van-fenna-2-kosten-te-hoog-en-problemen-met-bezetting","Uitstelbrief antwoorden Kamervragen over het bericht ‘Plotseling sluit zorgvilla van Fenna (2), kosten te hoog en problemen met bezetting’",2026-02-25 15:28:53,"0d7ebd33-12be-4cf3-b5db-06fee4eac3bd"
"Kamerbrief over ontwikkeling investeringsmodel preventie","https://www.rijksoverheid.nl/documenten/kamerstukken/2025/12/16/kamerbrief-inzake-afwegingskader-en-overige-ontwikkeling-investeringsmodel-preventie","Staatssecretaris Tielen (Jeugd, Preventie en Sport) informeert de Tweede kamer over de voortgang van ontwikkelingen rondom het investeringsmodel. Ze gaat hierbij is op passend bewijs voor preventie, het afwegingskader, de financiële besluitvorming en monitoring en evaluatie. Kamerbrief over ontwikkeling investeringsmodel preventie",2026-02-25 14:28:46,"fe125701-d2e5-4cb7-b82a-3d71fd0ef633"
"Antwoorden op vragen so over Hoofdzaak Advies voorkomen hersenletsel bij sport","https://www.rijksoverheid.nl/documenten/kamerstukken/2025/12/16/kamerbrief-over-schriftelijk-overleg-so-inzake-hoofdzaak-advies-om-hersenletsel-door-sport-te-voorkomen","Staatssecretaris Tielen (Jeugd, Preventie en Sport) geeft antwoord op vragen uit het Schriftelijk Overleg (SO) over Hoofdzaak Advies rondom de maatregelen en het voorkomen van hersenletsel bij sport. De vaste Commissie voor Volksgezondheid, Welzijn en Sport heeft de vragen gesteld  Antwoorden op vragen so over Hoofdzaak Advies voorkomen hersenletsel bij sport",2026-02-25 14:28:13,"23d48390-915a-4882-8f6d-a4f68186da75"
"Antwoorden op Kamervragen over burgerinitiatief 'My Voice, My Choice'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/03/antwoorden-op-kamervragen-over-de-stemming-in-het-europees-parlement-over-het-burgerinitiatief-my-voice-my-choice","Staatssecretaris Tielen (Jeugd, Preventie en Sport) geeft antwoord op vragen over de stemming in het Europees Parlement over het burgerinitiatief 'My Voice, My Choice'. Het Tweede Kamerlid Van Dijk (SGP) had de vragen gesteld.Antwoorden op Kamervragen over burgerinitiatief 'My Voice, My Choice'",2026-02-25 12:50:19,"911c0c73-e077-492c-a04c-240db97f42b3"
"Antwoorden op Kamervragen over het burgerinitiatief ‘My Voice, My Choice’","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/25/antwoorden-op-kamervragen-over-het-burgerinitiatief-my-voice-my-choice","Antwoorden op Kamervragen over het burgerinitiatief ‘My Voice, My Choice’",2026-02-25 08:35:40,"2847815b-49cb-4445-965c-833f604f1487"
"Kamerbrief over stand van zaken asbest in speelzand","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/20/kamerbrief-over-stand-van-zaken-asbest-in-speelzand","Staatssecretaris Tielen (Jeugd, Preventie en Sport) informeert de Tweede Kamer over de laatste stand van zaken omtrent asbest in speelzand. Kamerbrief over stand van zaken asbest in speelzand",2026-02-24 16:26:45,"cac982ed-6240-4625-890a-181deeb9fbb1"
"Aanbiedingsbrief rapport ‘Klem in het systeem’","https://www.rijksoverheid.nl/documenten/kamerstukken/2025/12/16/aanbiedingsbrief-bij-toezicht-sociaal-domein-rapport-klem-in-het-systeem","Minister Rijkaart (BZK) stuurt de Tweede Kamer het rapport ‘Klem in het systeem’ van het Toezicht Sociaal Domein. De minister geeft een korte reactie op het rapport.Aanbiedingsbrief rapport ‘Klem in het systeem’",2026-02-24 14:48:34,"14b4e40b-17fd-4e5f-8c1f-c445a7009d02"
"Antwoorden op Kamervragen over problemen vergoeding spraakcomputers","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/03/antwoorden-op-kamervragen-over-problemen-met-de-vergoeding-van-spraakcomputers-voor-mensen-die-zonder-hulp-niet-of-moeilijk-kunnen-communiceren","Minister Bruijn (VWS)  geeft antwoord op vragen over problemen rondom de aanspraak op de vergoeding van spraakcomputers voor mensen die zonder hulp niet of moeilijk kunnen communiceren. Het Tweede Kamerlid Westerveld (GL-PvdA) had de vragen gesteld.Antwoorden op Kamervragen over problemen vergoeding spraakcomputers",2026-02-24 14:40:07,"9addaca3-7fe1-4b1c-8acb-a9265a90a6a6"
"Antwoorden op Kamervragen over artikel Bonje tussen nieuwe en oude eigenaar ggz-organisatie Inter-Psy","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/03/antwoorden-op-kamervragen-over-het-artikel-bonje-tussen-nieuwe-en-oude-eigenaar-ggz-organisatie-inter-psy-we-zitten-in-een-vechtscheiding","Minister Bruijn (VWS)  geeft antwoord op vragen over het artikel Bonje tussen nieuwe en oude eigenaar ggz-organisatie Inter-Psy: ‘We zitten in een vechtscheiding’. Het Tweede Kamerlid Van Dijk (SP) had de vragen gesteld.Antwoorden op Kamervragen over artikel Bonje tussen nieuwe en oude eigenaar ggz-organisatie Inter-Psy",2026-02-24 14:39:35,"ec3b2076-effe-49ba-8941-67a7751d3350"
"Uitstelbrief op Kamervragen over het bericht dat Nederland de Britse methode om zwangere vrouwen te laten stoppen met roken test","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/18/uitstelbrief-op-kamervragen-over-het-bericht-dat-nederland-de-britse-methode-om-zwangere-vrouwen-te-laten-stoppen-met-roken-test","Staatssecretaris Tielen (Jeugd, Preventie en Sport) meldt dat de antwoorden op vragen over het bericht dat Nederland de Britse methode om zwangere vrouwen te laten stoppen met roken test later komen dan gebruikelijk. Het Tweede Kamerlid Wendel (VVD) had de vragen gesteld.Uitstelbrief op Kamervragen over het bericht dat Nederland de Britse methode om zwangere vrouwen te laten stoppen met roken test",2026-02-24 08:09:30,"2972586d-6cd9-4287-b813-355335b39e6c"
"Kamerbrief over de stand van zaken en planning Goedkeuringswet VN-Verdrag Handicap","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/13/kamerbrief-inzake-stand-van-zaken-en-de-planning-inzake-de-goedkeuringswet-facultatief-protocol-vn-verdrag-handicap","Staatssecretaris  Pouw-Verweij (Langdurige en Maatschappelijke Zorg) informeert de Tweede Kamer over de stand van zaken en planning van het voorstel van de rijkswet tot goedkeuring van het Facultatief Protocol VN-Verdrag Handicap.Kamerbrief over de stand van zaken en planning Goedkeuringswet VN-Verdrag Handicap",2026-02-23 19:45:01,"f9020414-77bc-4a33-bd73-5b56e7558733"
"Kamerbrief over 3-den; verzoek om reactie brief gedwongen wisseling medicatie en overbelaste mantelzorg ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/11/kamerbrief-inzake-3-den-verzoek-om-een-reactie-over-gedwongen-wisseling-van-medicatie-en-overbelaste-mantelzorg","Staatssecretaris Pouw-Verweij (Langdurige en Maatschappelijke Zorg) stuurt de Tweede Kamer haar reactie op een schrijven over overbelaste mantelzorgers en het gedwongen wisselen van medicatie. De vaste commissie voor Volksgezondheid, Welzijn en Sport had om de reactie verzocht. Kamerbrief over 3-den; verzoek om reactie brief gedwongen wisseling medicatie en overbelaste mantelzorg",2026-02-23 18:53:27,"5c91d149-e9e8-4bb9-948e-8a6cdd9de88b"
" Kamerbrief over Structurele dekking Programma Informatievoorziening Infectieziektebestrijding ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/01/21/kamerbrief-over-structurele-dekking-programma-iv-izb","Minister Bruijn (VWS) informeert de Tweede Kamer over structurele dekking programma Informatievoorziening Infectieziektebestrijding (IV IZB). Kamerbrief over Structurele dekking Programma Informatievoorziening Infectieziektebestrijding",2026-02-20 14:38:21,"02557867-ba90-45e0-a38b-01fc0bca194b"
"Antwoorden op Kamervragen over het afschaffen van begeleidersregeling Park Hoge Veluwe","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/01/20/antwoorden-op-kamervragen-over-het-afschaffen-van-de-begeleidersregeling-bij-nationaal-park-hoge-veluwe","Staatssecretaris Pouw-Verweij (Langdurige en Maatschappelijke Zorg) geeft antwoord op vragen over het artikel ‘Extra kosten voor gehandicapten in NP De Hoge Veluwe?' Het Tweede Kamerlid Westerveld (GL-PvdA) had de vragen gesteld.Antwoorden op Kamervragen over het afschaffen van begeleidersregeling Park Hoge Veluwe",2026-02-20 13:49:14,"23d80dcc-7810-4c4d-a813-8e394a233b4e"
"Kamerbrief over SO Inbreng inzake Informele EU-Gezondheidsraad op 25 en 26 februari 2026","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/20/kamerbrief-over-so-inbreng-inzake-informele-eu-gezondheidsraad-op-25-en-26-februari-2026","Kamerbrief over SO Inbreng inzake Informele EU-Gezondheidsraad op 25 en 26 februari 2026",2026-02-20 13:25:07,"9aad94f6-266e-44e1-aff0-451e92460de9"
"Uitstelbrief antwoorden Kamervragen over de misstanden en uitbuiting van Nederlandse jongeren in Franse gastgezinnen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/20/uitstelbrief-antwoorden-kamervragen-over-de-misstanden-en-uitbuiting-van-nederlandse-jongeren-in-franse-gastgezinnen","Uitstelbrief antwoorden Kamervragen over de misstanden en uitbuiting van Nederlandse jongeren in Franse gastgezinnen",2026-02-20 11:42:30,"3e8269c1-6e29-4756-8499-5dc79480ccb1"
"Kamerbrief naar aanleiding van bericht ‘Oudere gebukt onder zorggat; Tienduizenden krijgen uitgekleed pakket'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/02/kamerbrief-naar-aanleiding-van-het-bericht-oudere-gebukt-onder-zorggat-tienduizenden-krijgen-uitgekleed-pakket","Staatssecretaris Pouw-Verweij (Langdurige en Maatschappelijke Zorg) stuurt de Tweede Kamer een reactie op het bericht ‘Oudere gebukt onder zorggat; Tienduizenden krijgen uitgekleed pakket’. Tevens beantwoordt zij enkele vragen.  Kamerbrief naar aanleiding van bericht ‘Oudere gebukt onder zorggat; Tienduizenden krijgen uitgekleed pakket'",2026-02-19 16:54:04,"dc1521ff-4760-4b95-9a26-9d15a8af0b20"
"Aanbiedingsbrief bij eindrapport Opvolgingscommissie Dansen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/06/kamerbrief-over-aanbieding-eindrapport-van-de-opvolgingscommissie-dansen","Staatssecretaris Tielen (Jeugd, Preventie en Sport) biedt de Tweede Kamer het eindrapport 'Achter de coulissen' van de Opvolgingscommissie Dansen aan.Aanbiedingsbrief bij eindrapport Opvolgingscommissie Dansen",2026-02-19 16:06:57,"bf5735d7-f894-4d6a-864f-4758ab23e892"
"Beantwoording vragen over vergoeding Voxzogo ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/02/19/verslag-schriftelijk-overleg-vso-inzake-so-inbreng-vergoed-voxzogo-kamerstuk-29477-nr-954","Minister Bruijn (VWS) beantwoordt vragen over de vergoeding van het medicijn Voxzogo. De vragen zijn van de vaste commissie voor Volksgezondheid, Welzijn en Sport.Beantwoording vragen over vergoeding Voxzogo",2026-02-19 15:47:22,"51d6a1db-255f-4c8d-b679-8ed36e4c759e"
